name,address,lng,lat
亞太創意技術學院,[351]苗栗縣頭份市珊湖里學府路110號 ,120.9702322,24.6829439
臺灣觀光學院,[974]花蓮縣壽豐鄉豐山村中興街268號,121.4865128,23.8586595
馬偕醫學院,[252]新北市三芝區中正路三段46號,121.5023966,25.2526932
法鼓文理學院,[208]新北市金山區法鼓路700號,121.6169569,25.245412
台北海洋技術學院,[251]新北市淡水區濱海路三段150號,121.4265615,25.1922261
國立臺南護理專科學校,[700]臺南市中西區民族路二段78號,120.2075223,22.9952161
國立臺東專科學校,[950]臺東縣臺東市正氣北路889號,121.1260016,22.7573655
馬偕醫護管理專科學校,[112]臺北市北投區聖景路92號,121.4645108,25.1218803
仁德醫護管理專科學校,[356]苗栗縣後龍鎮溪洲里砂崙湖79之9號,120.776481,24.625073
樹人醫護管理專科學校,[821]高雄市路竹區環球路452號,120.2805972,22.8794276
慈惠醫護管理專科學校,[926]屏東縣南州鄉三民路367號,120.4894273,22.486071
耕莘健康管理專科學校,[231]新北市新店區民族路112號,121.5368906,24.9770572
敏惠醫護管理專科學校,[736]臺南市柳營區中山東路二段1116號,120.3307555,23.2793302
高美醫護管理專科學校,[843]高雄市美濃區成功路309號,120.551242,22.8876547
育英醫護管理專科學校,[807]高雄市三民區大昌二路420巷15號,120.3326089,22.6497392
崇仁醫護管理專科學校,[600]嘉義市東區盧厝里紅毛埤217號,120.4826403,23.478996
聖母醫護管理專科學校,[266]宜蘭縣三星鄉三星路二段265巷100號,121.7034259,24.6650043
新生醫護管理專科學校,[325]桃園市龍潭區中豐路高平段418號,121.2086908,24.8319108
